"('Big Ten', 60)","('SEC', 32)","('Big 12', 56)","('Pac-12', 50)","('FBS Indep.', 'DNS')","('ACC', 75.5)","('Mountain West', 'DNS')","('American', 'DNS')","('CUSA', 'DNS')"
"('OSU', 1)","('Alabama', 2)","('TCU', 3)","('Oregon', 7)","('Notre Dame', 9)","('FSU', 11)","('Boise State', 20)","('Temple', 32.5)","('W Kentucky', 39)"
"('Michigan State', 5)","('Auburn', 6)","('Baylor', 4)","('USC', 8)","('BYU', 27)","('Clemson', 12)",,"('Cincinnati', 34.5)",
"('Wisconsin', 26)","('Georgia', 10)","('Oklahoma', 19)","('UCLA', 13)",,"('Georgia Tech', 15)",,,
"('Northwestern', 28)","('LSU', 14)","('Oklahoma State', 30)","('Arizona', 22)",,"('NC State', 37.5)",,,
"('Minnesota', 36)","('Texas A&M', 16)","('West Virginia', 31)","('Utah', 24)",,"('Louisville', 37.5)",,,
,"('Ole Miss', 17)","('Kansas State', 34.5)","('Arizona State', 29)",,,,,
,"('Arkansas', 18)",,"('Cal', 40)",,,,,
,"('Missouri', 21)",,"('Stanford', 41)",,,,,
,"('Tennessee', 23)",,,,,,,
,"('Miss St', 25)",,,,,,,
,"('Florida', 32.5)",,,,,,,
